contract_type,investment_type,region,url
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2719611378-excelente-depto-en-santiago-sur-_JM#position=1&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1532065067-departamento-nuevo-_JM#position=2&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2720332534-vendo-promesa-de-compraventa-depto-mariposa-recoleta-_JM#position=3&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1551782849-cedo-promesa-compraventa-dpto-3-dormitorio-estacionamiento-_JM#position=4&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2773813104-cedo-promesa-compraventa-dpto-3-dormitorio-estacionamiento-_JM#position=5&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2764840298-venta-promesa-depto-nuevo-macul-2d-2b-1e-1bd-ahorra-418uf-_JM#position=6&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2781898154-se-vende-promesa-compraventa-_JM#position=7&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1525298533-cesion-de-derechos-de-promesa-de-compra-venta-la-florida-_JM#position=8&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2760740166-se-vende-promesa-depto-nuevo-av-einstein-_JM#position=9&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2788388754-venta-promesa-compraventa-2d-1b-1est-1bod-_JM#position=10&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2792728652-venta-de-promesa-de-departamento-en-macul-_JM#position=11&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1535010059-departamento-en-venta-de-ocasion-puente-alto-24-millone-_JM#position=12&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2720383180-venta-de-departamento-en-puente-alto-_JM#position=13&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2732138746-venacia-leiva-av-santa-rosa-_JM#position=14&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2761937086-vendo-departamento-2d-1b-ubicado-en-el-bosque-_JM#position=15&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2762429868-venta-de-departamento-en-talagante-divergente-propiedades-_JM#position=16&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1552339021-cesion-de-promesa-en-eco-egana-nunoa-piso-27-con-plusvalia-_JM#position=17&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2788331262-cesion-de-promesa-en-eco-egana-nunoa-piso-27-con-plusvalia-_JM#position=18&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1536518861-el-monte-departamento-3-dormitorios-y-1-bano-_JM#position=19&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2750796076-metro-nuble-2d2b1e1b-promesa-_JM#position=20&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2747956584-tu-nuevo-hogar-en-una-sesion-de-promesa-_JM#position=21&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1553184097-se-vende-promesa-depto-nuevo-1d1b-estacionamiento-_JM#position=22&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1533345313-gran-oportunidad-venta-depto-en-3er-piso-con-o-sin-subsidio-_JM#position=23&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1543864427-vendo-departamento-2d-1b-ubicado-en-san-bernarnardo-_JM#position=24&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2767761050-poblacion-lo-sierra-2-tercerf-piso-_JM#position=25&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2770888614-poblacion-el-caleuche-segundo-piso-_JM#position=26&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1505452227-amplio-departamento-3-dorm-las-violetas-quilicura-_JM#position=27&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2752649622-oportunidad-a-5-min-del-metro-san-alberto-hurtado-_JM#position=28&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1551876857-depto-2do-piso-remodelado-2d1b-pob-san-francisco-_JM#position=29&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2716506430-departamento-en-venta-de-2-dorm-en-talagante-_JM#position=30&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2786674222-venta-de-departamento-2-dormitorio-_JM#position=31&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2767878688-el-monte-villa-antigua-segundo-piso-_JM#position=32&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2770815816-poblacion-manuel-rengifo-primer-piso-san-ramon-_JM#position=33&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1507359235-departamento-en-venta-de-2-dorm-en-quilicura-_JM#position=34&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1542496203-se-vende-departamento-2do-piso-el-ombu-la-pintana-_JM#position=35&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1542779755-departamento-en-venta-de-3-dorm-en-puente-alto-_JM#position=36&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2655577714-50-derechos-depto-en-santiago-remate-13-de-diciembre-_JM#position=37&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2661621774-puente-alto-depto-35m2-3er-piso-2d1b-sargento-menadier-_JM#position=38&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2747823004-departamento-en-venta-de-2-dorm-en-puente-alto-_JM#position=39&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-2789792230-departamento-en-venta-de-2-dorm-en-san-bernardo-_JM#position=40&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1543381233-poblacion-vicente-huidobro-nva-imperial-52400-_JM#position=41&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1537512621-departamento-en-venta-de-3-dorm-en-melipilla-_JM#position=42&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1535462055-venta-departamento-ichuac-puente-alto-_JM#position=43&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1539379279-gran-oportunidad-con-estacionamiento-cerrado-_JM#position=44&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
venta,departamento,metropolitana,https://www.portalinmobiliario.com/MLC-1544074307-oferta-al-contado-en-san-bernardo-_JM#position=45&search_layout=grid&type=item&tracking_id=854d260d-6155-4e7f-93e9-ce7556f7b820
